Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/display_images/cogohelp.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/display_images/May-2023-Events.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/display_images/cogo-labs-logo.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/display_images/april-ARE-1.jpeg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit05,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/display_images/toastmasters.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit06,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/display_images/slack%20ad.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit07,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/display_images/Your_Commute_Simplified.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
