Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/cogohelp.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/May-2023-Events.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/cogo-labs-logo.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/april-ARE-1.jpeg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit05,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/toastmasters.mp4,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit06,https://raw.githubusercontent.com/cogo-roadmaps/exhibits/main/slack%20ad.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
